fur_color,height,weight,eye_color,prehistoric
grey,226 cm,122 kg,green,TRUE
red,294 cm,135 kg,blue,TRUE
white,191 cm,94 kg,black,TRUE
grey,168 cm,69 kg,brown,FALSE
brown,298 cm,126 kg,blue,TRUE
black,253 cm,111 kg,black,TRUE
brown,167 cm,104 kg,green,FALSE
grey,239 cm,162 kg,brown,TRUE
red,216 cm,210 kg,brown,FALSE
red,188 cm,105 kg,black,FALSE
brown,281 cm,212 kg,black,TRUE
black,264 cm,271 kg,black,TRUE
brown,252 cm,238 kg,blue,TRUE
red,243 cm,280 kg,brown,TRUE
black,282 cm,80 kg,blue,TRUE
orange,262 cm,79 kg,blue,TRUE
brown,258 cm,171 kg,green,TRUE
dark grey,187 cm,216 kg,green,FALSE
brown,249 cm,205 kg,black,TRUE
,260 cm,231 kg,blue,TRUE
,297 cm,175 kg,brown,TRUE
,227 cm,169 kg,brown,TRUE
,296 cm,65 kg,blue,TRUE
dark grey,227 cm,179 kg,brown,TRUE
white,210 cm,116 kg,brown,TRUE
dark grey,199 cm,160 kg,green,FALSE
orange,295 cm,93 kg,blue,TRUE
black,177 cm,97 kg,blue,
orange,268 cm,279 kg,brown,
brown,294 cm,,blue,TRUE
orange,220 cm,127 kg,green,TRUE
grey,298 cm,230 kg,green,TRUE
black,163 cm,280 kg,,TRUE
calico,180 cm,234 kg,black,FALSE
calico,,82 kg,green,TRUE
calico,,112 kg,blue,TRUE
calico,,,green,TRUE
calico,269 cm,256 kg,brown,TRUE
grey,259 cm,228 kg,black,TRUE
orange,192 cm,262 kg,brown,TRUE
brown,225 cm,93 kg,green,TRUE
white,279 cm,86 kg,blue,TRUE
red,208 cm,196 kg,green,FALSE
calico,285 cm,133 kg,blue,TRUE
white,268 cm,278 kg,green,TRUE
calico,,116 kg,green,TRUE
calico,196 cm,273 kg,brown,TRUE
orange,240 cm,224 kg,black,TRUE
dark grey,218 cm,198 kg,blue,FALSE
grey,300 cm,95 kg,brown,TRUE
calico,273 cm,81 kg,brown,
brown,195 cm,136 kg,green,FALSE
calico,173 cm,,brown,FALSE
brown,203 cm,,brown,TRUE
black,171 cm,,green,TRUE
calico,276 cm,248 kg,brown,TRUE
red,240 cm,159 kg,green,TRUE
,279 cm,146 kg,green,TRUE
,247 cm,79 kg,brown,TRUE
,192 cm,64 kg,brown,FALSE
red,188 cm,174 kg,blue,FALSE
grey,210 cm,,brown,FALSE
white,300 cm,212 kg,blue,TRUE
orange,246 cm,98 kg,green,TRUE
orange,256 cm,247 kg,brown,TRUE
white,233 cm,97 kg,black,TRUE
dark grey,277 cm,73 kg,black,TRUE
orange,204 cm,156 kg,blue,FALSE
calico,269 cm,94 kg,black,TRUE
,265 cm,120 kg,green,TRUE
,271 cm,60 kg,blue,TRUE
,282 cm,151 kg,green,TRUE
brown,188 cm,179 kg,green,FALSE
black,287 cm,261 kg,black,TRUE
red,161 cm,223 kg,brown,FALSE
brown,224 cm,107 kg,,TRUE
orange,248 cm,277 kg,brown,TRUE
dark grey,262 cm,118 kg,green,TRUE
dark grey,268 cm,190 kg,brown,TRUE
red,280 cm,,black,TRUE
dark grey,228 cm,202 kg,blue,TRUE
brown,163 cm,269 kg,brown,TRUE
brown,235 cm,217 kg,black,TRUE
orange,,154 kg,green,TRUE
